escenario,minuto,es_hora_pico,velocidad_media_kmh_mean,velocidad_media_kmh_std,velocidad_media_kmh_min,velocidad_media_kmh_max,pct_ruta_directa_mean,pct_ruta_directa_std,pct_ruta_directa_min,pct_ruta_directa_max,pct_reroutean_mean,pct_reroutean_std,pct_reroutean_min,pct_reroutean_max,pct_metro_mean,pct_metro_std,pct_metro_min,pct_metro_max,modal_shift_acum_mean,modal_shift_acum_std,modal_shift_acum_min,modal_shift_acum_max,recaudacion_acum_usd_mean,recaudacion_acum_usd_std,recaudacion_acum_usd_min,recaudacion_acum_usd_max,directo_nse_bajo_corr_mean,directo_nse_bajo_corr_std,directo_nse_bajo_corr_min,directo_nse_bajo_corr_max,pct_metro_bajo_corr_mean,pct_metro_bajo_corr_std,pct_metro_bajo_corr_min,pct_metro_bajo_corr_max
E0,1215,False,26.3,,26.3,26.3,85.6,,85.6,85.6,6.2,,6.2,6.2,8.1,,8.1,8.1,77827.0,,77827,77827,0.0,,0.0,0.0,697.0,,697,697,1.9337016574585635,,1.9337016574585635,1.9337016574585635
E0,1230,False,26.2,,26.2,26.2,89.1,,89.1,89.1,4.7,,4.7,4.7,6.2,,6.2,6.2,79153.0,,79153,79153,0.0,,0.0,0.0,715.0,,715,715,0.5524861878453038,,0.5524861878453038,0.5524861878453038
E0,1245,False,27.2,,27.2,27.2,84.8,,84.8,84.8,6.1,,6.1,6.1,9.1,,9.1,9.1,80403.0,,80403,80403,0.0,,0.0,0.0,715.0,,715,715,0.6906077348066298,,0.6906077348066298,0.6906077348066298
E0,1260,False,26.5,,26.5,26.5,86.2,,86.2,86.2,5.8,,5.8,5.8,8.0,,8.0,8.0,81709.0,,81709,81709,0.0,,0.0,0.0,715.0,,715,715,0.6906077348066298,,0.6906077348066298,0.6906077348066298
E0,1275,False,26.9,,26.9,26.9,85.4,,85.4,85.4,5.9,,5.9,5.9,8.7,,8.7,8.7,82956.0,,82956,82956,0.0,,0.0,0.0,691.0,,691,691,2.9005524861878453,,2.9005524861878453,2.9005524861878453
E0,1290,False,26.7,,26.7,26.7,86.6,,86.6,86.6,5.8,,5.8,5.8,7.6,,7.6,7.6,84319.0,,84319,84319,0.0,,0.0,0.0,723.0,,723,723,0.13812154696132595,,0.13812154696132595,0.13812154696132595
E0,1305,False,26.1,,26.1,26.1,88.5,,88.5,88.5,4.6,,4.6,4.6,7.0,,7.0,7.0,85525.0,,85525,85525,0.0,,0.0,0.0,723.0,,723,723,0.0,,0.0,0.0
E0,1320,False,26.3,,26.3,26.3,84.6,,84.6,84.6,6.2,,6.2,6.2,9.2,,9.2,9.2,86744.0,,86744,86744,0.0,,0.0,0.0,717.0,,717,717,0.6906077348066298,,0.6906077348066298,0.6906077348066298
EB,375,False,35.0,,35.0,35.0,100.0,,100.0,100.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,117.0,,117,117,0.0,,0.0,0.0
EB,390,False,36.0,,36.0,36.0,100.0,,100.0,100.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,117.0,,117,117,0.0,,0.0,0.0
EB,405,False,35.0,,35.0,35.0,100.0,,100.0,100.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,117.0,,117,117,0.0,,0.0,0.0
EB,420,True,35.8,,35.8,35.8,100.0,,100.0,100.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,117.0,,117,117,0.0,,0.0,0.0
EB,435,True,35.7,,35.7,35.7,68.7,,68.7,68.7,15.8,,15.8,15.8,15.5,,15.5,15.5,836.0,,836,836,472.0,,472.0,472.0,85.0,,85,85,17.73049645390071,,17.73049645390071,17.73049645390071
EB,450,True,35.3,,35.3,35.3,61.8,,61.8,61.8,19.8,,19.8,19.8,18.4,,18.4,18.4,2183.0,,2183,2183,1021.0,,1021.0,1021.0,83.0,,83,83,22.5,,22.5,22.5
EB,465,True,34.5,,34.5,34.5,69.7,,69.7,69.7,16.7,,16.7,16.7,13.5,,13.5,13.5,3534.0,,3534,3534,1614.0,,1614.0,1614.0,120.0,,120,120,15.053763440860216,,15.053763440860216,15.053763440860216
EB,480,True,34.7,,34.7,34.7,69.6,,69.6,69.6,17.2,,17.2,17.2,13.2,,13.2,13.2,5053.0,,5053,5053,2294.0,,2294.0,2294.0,125.0,,125,125,17.452830188679243,,17.452830188679243,17.452830188679243
EB,495,True,35.0,,35.0,35.0,66.7,,66.7,66.7,17.4,,17.4,17.4,15.9,,15.9,15.9,6537.0,,6537,6537,2911.0,,2911.0,2911.0,144.0,,144,144,18.672199170124482,,18.672199170124482,18.672199170124482
EB,510,True,32.9,,32.9,32.9,65.8,,65.8,65.8,18.4,,18.4,18.4,15.7,,15.7,15.7,8188.0,,8188,8188,3464.75,,3464.75,3464.75,166.0,,166,166,17.843866171003718,,17.843866171003718,17.843866171003718
EB,525,True,34.0,,34.0,34.0,67.2,,67.2,67.2,18.0,,18.0,18.0,14.8,,14.8,14.8,9742.0,,9742,9742,3832.25,,3832.25,3832.25,178.0,,178,178,19.333333333333332,,19.333333333333332,19.333333333333332
EB,540,True,32.2,,32.2,32.2,67.5,,67.5,67.5,18.0,,18.0,18.0,14.5,,14.5,14.5,11447.0,,11447,11447,4209.75,,4209.75,4209.75,193.0,,193,193,17.956656346749224,,17.956656346749224,17.956656346749224
EB,555,True,32.3,,32.3,32.3,66.8,,66.8,66.8,18.0,,18.0,18.0,15.2,,15.2,15.2,13160.0,,13160,13160,4610.75,,4610.75,4610.75,201.0,,201,201,19.03409090909091,,19.03409090909091,19.03409090909091
EB,570,True,32.9,,32.9,32.9,66.9,,66.9,66.9,17.9,,17.9,17.9,15.2,,15.2,15.2,14950.0,,14950,14950,4973.75,,4973.75,4973.75,221.0,,221,221,18.230563002680967,,18.230563002680967,18.230563002680967
EB,585,True,32.1,,32.1,32.1,65.9,,65.9,65.9,18.6,,18.6,18.6,15.5,,15.5,15.5,16750.0,,16750,16750,5348.75,,5348.75,5348.75,238.0,,238,238,17.587939698492463,,17.587939698492463,17.587939698492463
EB,600,True,33.1,,33.1,33.1,68.0,,68.0,68.0,17.9,,17.9,17.9,14.1,,14.1,14.1,18550.0,,18550,18550,5684.75,,5684.75,5684.75,247.0,,247,247,18.85441527446301,,18.85441527446301,18.85441527446301
EB,615,False,31.4,,31.4,31.4,91.3,,91.3,91.3,8.3,,8.3,8.3,0.4,,0.4,0.4,20332.0,,20332,20332,5732.75,,5732.75,5732.75,377.0,,377,377,0.0,,0.0,0.0
EB,630,False,31.0,,31.0,31.0,91.5,,91.5,91.5,8.4,,8.4,8.4,0.1,,0.1,0.1,21290.0,,21290,21290,5788.75,,5788.75,5788.75,377.0,,377,377,0.0,,0.0,0.0
EB,645,False,30.6,,30.6,30.6,91.4,,91.4,91.4,8.3,,8.3,8.3,0.3,,0.3,0.3,22260.0,,22260,22260,5835.75,,5835.75,5835.75,376.0,,376,376,0.0,,0.0,0.0
EB,660,False,30.5,,30.5,30.5,91.4,,91.4,91.4,8.3,,8.3,8.3,0.3,,0.3,0.3,23225.0,,23225,23225,5889.75,,5889.75,5889.75,377.0,,377,377,0.0,,0.0,0.0
EB,675,False,31.4,,31.4,31.4,91.7,,91.7,91.7,8.3,,8.3,8.3,0.1,,0.1,0.1,24199.0,,24199,24199,5917.75,,5917.75,5917.75,377.0,,377,377,0.0,,0.0,0.0
EB,690,False,30.3,,30.3,30.3,91.4,,91.4,91.4,8.3,,8.3,8.3,0.3,,0.3,0.3,25155.0,,25155,25155,5955.75,,5955.75,5955.75,376.0,,376,376,0.2380952380952381,,0.2380952380952381,0.2380952380952381
